n_have,n_want,rating,n_ratings,last_sold,price_lowest,price_highest,price_median,release_id,release_url,last_updated
8,16,,0,2020-01-07,8.00,30.00,14.04,4299181,https://www.discogs.com/Unknown-Artist-Diagnosis-Of-Depressive-Illness-In-General-Practice/release/4299181,2021-01-24 22:15:39.950787
155,243,4.92,12,2020-09-29,10.68,51.10,20.22,8230412,https://www.discogs.com/The-Pharcyde-Passin-Me-By/release/8230412,2021-01-24 22:15:39.950787
465,452,4.46,56,2020-12-07,13.35,24.61,20.00,2009728,https://www.discogs.com/Florence-The-Machine-Youve-Got-The-Love/release/2009728,2021-01-24 22:15:39.950787
13,13,,0,2020-12-18,1.00,2.00,1.88,2626087,https://www.discogs.com/John-Kirby-Garden-Bird-Songs/release/2626087,2021-01-24 22:15:39.950787
327,21,3.73,22,2020-12-04,0.40,7.12,2.88,1749944,https://www.discogs.com/The-Searchers-Aint-Gonna-Kiss-Ya/release/1749944,2021-01-24 22:15:39.950787
26,19,4.6,5,2020-10-18,3.50,8.99,3.99,3266796,https://www.discogs.com/The-Watkins-Screamers-She-Said-Night-Time/release/3266796,2021-01-24 22:15:39.950787
42,0,5.0,2,2020-10-27,1.00,9.99,3.50,9701247,https://www.discogs.com/Gershwin-Rhapsody-In-Blue-An-American-In-Paris/release/9701247,2021-01-24 22:15:39.950787
104,10,3.83,6,2020-09-16,1.68,5.99,2.83,2486702,https://www.discogs.com/Various-Cabaret-Night-In-Paris/release/2486702,2021-01-24 22:15:39.950787
38,3,3.5,2,2020-09-29,1.99,10.00,5.33,2454115,https://www.discogs.com/Various-Cabaret-Night-In-Paris-No-2/release/2454115,2021-01-24 22:15:39.950787
37,3,3.5,2,2020-11-10,2.50,15.00,3.99,5445645,https://www.discogs.com/Various-Cabaret-Night-In-Paris-No3/release/5445645,2021-01-24 22:15:39.950787
68,9,4.33,3,2019-04-09,0.75,5.00,1.50,1355883,https://www.discogs.com/Various-Faces-Of-Jazz/release/1355883,2021-01-24 22:15:39.950787
615,139,4.58,52,2020-12-28,3.00,12.45,7.64,387809,https://www.discogs.com/Moondog-And-His-Honking-Geese-Moondog-And-His-Honking-Geese-Playing-Moondogs-Music/release/387809,2021-01-24 22:15:39.950787
605,265,4.67,45,2020-10-29,5.11,9.99,7.99,483450,https://www.discogs.com/Moondog-Moondog-And-His-Friends/release/483450,2021-01-24 22:15:39.950787
1401,1039,4.53,150,2021-01-02,21.90,74.46,54.75,5389075,https://www.discogs.com/Quasimoto-Talkin-Shit/release/5389075,2021-01-24 22:15:39.950787
89,51,4.73,11,2020-11-05,2.92,44.51,7.17,1712359,https://www.discogs.com/Various-Seventy-Three-Funshine/release/1712359,2021-01-24 22:15:39.950787
231,390,4.7,40,2020-09-24,0.89,199.38,135.03,2005638,https://www.discogs.com/Various-Peanut-Butter-Wolf-45-Live-Classic-Rap-45s/release/2005638,2021-01-24 22:15:39.950787
315,596,4.66,47,2021-01-01,38.55,62.31,45.57,3235267,https://www.discogs.com/MF-Doom-Dime-Box/release/3235267,2021-01-24 22:15:39.950787
280,245,4.72,25,2020-12-07,10.95,36.50,28.83,5121687,https://www.discogs.com/Mayer-Hawthorne-Just-Aint-Gonna-Work-Out/release/5121687,2021-01-24 22:15:39.950787
558,558,4.56,91,2020-12-19,7.30,22.26,16.02,2494880,https://www.discogs.com/Nicolas-Jaar-Love-You-Gotta-Lose-Again-EP/release/2494880,2021-01-24 22:15:39.950787
577,443,4.57,86,2021-01-09,10.95,18.24,15.58,3243336,https://www.discogs.com/Nicolas-Jaar-Dont-Break-My-Love-EP/release/3243336,2021-01-24 22:15:39.950787
997,571,4.56,131,2020-12-09,4.37,35.60,22.66,3323257,https://www.discogs.com/Darkside-Darkside-EP/release/3323257,2021-01-24 22:15:39.950787
286,115,4.63,40,2020-08-22,4.99,13.35,8.41,5611288,https://www.discogs.com/Just-Friends-Dont-Tell-Me/release/5611288,2021-01-24 22:15:39.950787
51,18,4.71,7,2020-11-16,4.45,16.02,7.97,6349166,https://www.discogs.com/Valentin-Stip-Sigh-interpretations/release/6349166,2021-01-24 22:15:39.950787
301,282,4.53,40,2020-10-24,7.00,26.71,9.97,2589826,https://www.discogs.com/Floating-Points-Ensemble-Post-Suite-Almost-In-Profile/release/2589826,2021-01-24 22:15:39.950787
207,111,4.3,27,2020-08-18,0.89,4.45,2.76,2542570,https://www.discogs.com/Fantastic-Mr-Fox-Evelyn-EP/release/2542570,2021-01-24 22:15:39.950787
105,68,4.81,21,2020-07-01,7.12,20.00,13.75,2608675,https://www.discogs.com/George-Fitzgerald-Tell-Me-Dubstep-Refix/release/2608675,2021-01-24 22:15:39.950787
110,64,4.5,22,2021-01-04,0.89,5.00,3.00,2415971,https://www.discogs.com/Doc-Daneeka-Hold-On/release/2415971,2021-01-24 22:15:39.950787
718,166,4.39,92,2020-11-25,1.00,6.50,2.55,2867393,https://www.discogs.com/Zomby-Natalias-Song/release/2867393,2021-01-24 22:15:39.950787
616,606,4.64,121,2020-12-16,7.00,20.00,12.00,2234497,https://www.discogs.com/Pariah-Detroit-Falls-Orpheus/release/2234497,2021-01-24 22:15:39.950787
161,204,4.77,39,2020-11-18,8.62,19.99,14.62,2685681,https://www.discogs.com/Xxxy-You-Always-Start-It-Ordinary-Things/release/2685681,2021-01-24 22:15:39.950787
130,272,4.6,52,2020-04-21,10.95,44.51,16.99,2491674,https://www.discogs.com/Julio-Bashmore-Chazm-Footsteppin/release/2491674,2021-01-24 22:15:39.950787
429,229,4.52,56,2020-08-26,3.00,8.99,8.01,2006378,https://www.discogs.com/Untold-Stop-What-Youre-Doing-I-Cant-Stop-This-Feeling-Remixes/release/2006378,2021-01-24 22:15:39.950787
52,21,4.88,8,2020-04-10,1.89,5.95,3.09,2643801,https://www.discogs.com/Alex-Clare-Up-All-Night-SBTRKT-Remixes/release/2643801,2021-01-24 22:15:39.950787
180,81,4.48,31,2020-11-22,2.67,6.50,3.65,3483487,https://www.discogs.com/Airhead-WaitSouth-Congress/release/3483487,2021-01-24 22:15:39.950787
205,41,4.33,18,2020-10-21,0.89,6.67,2.00,1870878,https://www.discogs.com/Martyn-Sideshow-featuring-Cortney-Tidwell-Electric-Purring-Television-All-Night-Long-Version/release/1870878,2021-01-24 22:15:39.950787
1719,575,4.59,266,2020-12-26,5.49,21.81,8.01,2566056,https://www.discogs.com/James-Blake-Limit-To-Your-Love/release/2566056,2021-01-24 22:15:39.950787
