n_have,n_want,rating,n_ratings,last_sold,price_lowest,price_highest,price_median,release_id,release_url
73,0,4.75,4,2020-12-03,2.95,8.90,6.23,7947218,https://www.discogs.com/Puccini-Tito-Gobbi-Ileana-Cotrubas-Placido-DomingoLondon-Symphony-Orchestra-Lorin-Maazel-Gianni-Schi/release/7947218
30,11,5.0,1,2020-09-10,1.02,15.13,4.00,3822897,https://www.discogs.com/Puccini-Maria-Callas-Giuseppe-Di-Stefano-Tito-Gobbi-Orchestra-And-Chorus-Of-La-Scala-Milan-Vittore-V/release/3822897
108,9,5.0,5,2020-12-08,3.07,11.71,8.69,5747801,https://www.discogs.com/Puccini-Maria-Callas-Nicolai-Gedda-Mario-Borriello-Lucia-Danieli-Orchestra-And-Chorus-Of-La-Scala-Mi/release/5747801
90,1,4.67,3,2020-09-29,4.38,8.90,5.56,4753655,https://www.discogs.com/Manuel-De-Falla-Teresa-Berganza-Alicia-Naf%C3%A9-Jos%C3%A9-Carreras-Ambrosian-Opera-Chorus-London-Symphony-O/release/4753655
29,4,5.0,1,2020-06-01,3.00,8.01,3.99,2898302,https://www.discogs.com/Donizetti-Joan-Sutherland-Renato-Cioni-Robert-Merrill-Cesare-Siepi-Orchestra-DellAccademia-Nazionale/release/2898302
122,17,4.17,12,2020-12-08,2.00,15.00,6.66,3978315,https://www.discogs.com/Sibelius-Bournemouth-Symphony-Orchestra-Berglund-Kullervo-Symphony/release/3978315
13,1,4.0,1,2016-02-01,11.13,11.13,11.13,7432386,https://www.discogs.com/Boris-Christoff-Issay-Dobrowen-French-Radio-Orchestra-Moussorgsky-Boris-Godounoff/release/7432386
6,0,,0,NaT,,,,14818027,https://www.discogs.com/Pablo-Casals-In-Memoriam-Pablo-Casals-1876-1973/release/14818027
94,12,4.0,7,2020-11-25,4.00,15.58,10.00,3812093,https://www.discogs.com/Kurt-Weill-Lotte-Lenya-Wilhelm-Br%C3%BCckner-R%C3%BCggeberg-The-Threepenny-Opera-The-Berlin-Theatre-Songs/release/3812093
132,10,3.71,7,2020-12-08,7.12,36.68,11.52,7529152,https://www.discogs.com/Wagner-Vienna-Philharmonic-Orchestra-Georg-Solti-Tannh%C3%A4user-Paris-Version/release/7529152
77,16,3.33,3,2020-09-25,4.75,15.00,9.38,6929259,https://www.discogs.com/Wagner-Kirsten-Flagstad-Ludwig-Suthaus-Blanche-Thebom-Dietrich-Fischer-Dieskau-Philharmonia-Orchestr/release/6929259
28,12,4.8,5,2020-12-11,10.00,30.85,22.00,4206700,https://www.discogs.com/Wagner-Otto-Klemperer-New-Philharmonia-Orchestra-The-Flying-Dutchman/release/4206700
75,16,4.55,11,2020-08-31,1.99,28.16,16.99,4498264,https://www.discogs.com/Wagner-Ren%C3%A9-Kollo-Gottlob-Frick-Dietrich-Fischer-Dieskau-Christa-Ludwig-Zoltan-K%C3%A9l%C3%A9men-Hans-Hotte/release/4498264
116,11,4.55,11,2020-11-11,3.00,15.94,10.75,6936927,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-49-56/release/6936927
182,18,4.57,14,2020-10-22,2.50,65.70,9.35,1471751,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-93-104/release/1471751
143,15,4.8,10,2020-12-01,2.00,14.24,6.65,3795163,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-82-92-Sinfonia-Concertante/release/3795163
106,14,5.0,8,2020-10-09,7.99,27.60,14.70,4385283,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-1-19/release/4385283
62,6,5.0,4,2020-10-28,2.91,11.56,4.99,8905619,https://www.discogs.com/Brahms-Elisabeth-Schwarzkopf-Dietrich-Fischer-DieskauPhilharmonia-Chorus-Chorus-Master-Wilhelm-PitzP/release/8905619
63,8,4.67,3,2020-12-11,5.83,11.75,7.35,7890383,https://www.discogs.com/Mahler-Concertgebouw-Orchester-Amsterdam-Bernard-Haitink-Sinfonie-Nr-7/release/7890383
301,40,4.52,23,2020-12-11,4.45,17.80,11.51,4173982,https://www.discogs.com/Mahler-Georg-Solti-Chicago-Symphony-Orchestra-Symphony-No-8/release/4173982
88,34,4.5,6,2020-12-21,6.00,42.03,12.00,1859581,https://www.discogs.com/Gustav-Mahler-Dame-Janet-Baker-Sir-John-Barbirolli-New-Philharmonia-Orchestra-Symphony-No-5-Five-R%C3%BC/release/1859581
63,14,5.0,1,2020-11-23,6.23,35.16,21.13,6611304,https://www.discogs.com/Mahler-Heather-Harper-Helen-Watts-London-Symphony-Georg-Solti-Symphony-No2-Resurrection/release/6611304
21,2,3.5,2,2020-11-17,2.00,8.75,3.99,7704913,https://www.discogs.com/Berlioz-Patricia-Kern-Robert-Tear-John-Shirley-QuirkLondon-Symphony-Orchestra-Colin-Davis-Romeo-Et-J/release/7704913
116,12,4.4,5,2020-11-06,1.78,9.99,4.99,3093919,https://www.discogs.com/Berlioz-Janet-Baker-Eric-Tappy-Thomas-Allen-Jules-Bastin-John-Alldis-Choir-London-Symphony-Orchestra/release/3093919
1,1,,0,NaT,,,,12007636,https://www.discogs.com/Boston-Symphony-Orchestra-Charles-Munch-Hector-Berlioz-The-Damnation-Of-Faust/release/12007636
90,21,4.4,5,2020-11-16,1.99,18.00,11.25,5519993,https://www.discogs.com/Beethoven-Otto-Klemperer-Elisabeth-S%C3%B8derstr%C3%B8m-Marga-H%C3%B6ffgen-Waldemar-Kmentt-Martti-Talvela-New-Ph/release/5519993
71,9,4.17,6,2020-11-03,2.81,20.48,10.68,4660464,https://www.discogs.com/Ludwig-Van-Beethoven-Wilhelm-Kempff-Yehudi-Menuhin-S%C3%A4mtliche-Violinsonaten-Violin-Sonatas-Complete-/release/4660464
217,50,4.65,17,2020-12-02,7.29,26.18,12.05,2452986,https://www.discogs.com/Franz-Liszt-Lazar-Berman-Ann%C3%A9es-De-P%C3%A8lerinage-Gesamt-Complete-Integrale/release/2452986
103,5,4.0,4,2020-06-16,1.99,10.68,3.00,3287016,https://www.discogs.com/Franz-Leh%C3%A1r-Elizabeth-Harwood-Teresa-Stratas-Werner-Hollweg-Ren%C3%A9-Kollo-Zoltan-Kelemen-Chorus-Of-Th/release/3287016
100,19,4.6,5,2020-10-31,5.84,24.93,15.22,5972183,https://www.discogs.com/Mahler-Chicago-Symphony-Orchestra-Georg-Solti-Yvonne-Minton-Symphony-No-6-In-A-Minor-Lieder-Eines-Fa/release/5972183
88,8,4.8,5,2020-11-06,1.78,13.22,5.34,3093881,https://www.discogs.com/Berlioz-Baker-Eda-Pierre-Watts-Tear-Allen-Lloyd-Bastin-John-Alldis-Choir-London-Symphony-Orchestra-C/release/3093881
35,2,3.5,2,2020-09-24,7.99,12.46,9.01,9686791,https://www.discogs.com/Felix-Mendelssohn-Bartholdy-Herbert-von-Karajan-Berlin-Philharmonic-Orchestra-5-Symphonies/release/9686791
234,23,4.47,15,2020-12-13,1.96,40.06,8.83,3093850,https://www.discogs.com/Berlioz-Vickers-Veasey-Lindholm-Royal-Opera-House-Covent-Garden-Orchestra-Chorus-Colin-Davis-Les-Tro/release/3093850
188,14,4.46,13,2020-12-08,1.78,11.13,3.36,3093798,https://www.discogs.com/Berlioz-Gedda-Eda-Pierre-Bastin-Berbi%C3%A9-Soyer-Massard-BBC-Symphony-Orchestra-Colin-Davis-Benvenuto-C/release/3093798
197,10,4.67,9,2020-12-04,1.85,13.35,5.00,7969420,https://www.discogs.com/Berlioz-London-Symphony-Orchestra-Chorus-Colin-Davis-Requiem/release/7969420
189,17,4.36,11,2020-11-28,7.39,24.45,10.96,5281120,https://www.discogs.com/Georges-Bizet-Marilyn-Horne-James-McCracken-Leonard-Bernstein-The-Metropolitan-Opera-Orchestra-And-C/release/5281120
28,5,4.5,2,2020-09-15,4.38,10.68,7.99,6920558,https://www.discogs.com/Bach-Stuttgart-Chamber-Orchestra-Karl-M%C3%BCnchinger-Brandenburg-Concerti/release/6920558
109,9,4.29,7,2020-10-19,2.49,17.80,4.99,5394157,https://www.discogs.com/Beethoven-Christa-Ludwig-Jon-Vickers-Gottlob-Frick-Walter-BerryPhilharmonia-Orchestra-And-Chorus-Con/release/5394157
68,5,3.86,7,2020-12-13,7.57,23.15,13.26,4535584,https://www.discogs.com/Ludwig-Van-Beethoven-Wilhelm-Kempff-Pierre-Fournier-Die-Cellosonaten-The-Cello-Sonatas-Les-Sonates-P/release/4535584
127,131,4.42,12,2020-10-24,21.90,42.00,30.57,3544215,https://www.discogs.com/J-S-Bach-Pablo-Casals-The-Six-Cello-Suites/release/3544215
49,27,4.33,3,2020-09-28,27.00,109.50,41.93,3472980,https://www.discogs.com/Heifetz-Plays-Bach-Unaccompanied-Sonatas-And-Partitas-Complete/release/3472980
75,15,4.4,5,2020-11-26,6.99,25.00,16.50,4458324,https://www.discogs.com/Bach-Agnes-Giebel-Janet-Baker-Nicolai-Gedda-Hermann-Prey-Franz-Crass-BBC-Chorus-New-Philharmonia-Orc/release/4458324
114,16,4.88,8,2020-12-01,5.99,14.99,11.23,4824000,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-36-48/release/4824000
110,14,4.71,7,2020-10-31,8.99,17.72,10.00,4385349,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-20-35/release/4385349
134,14,4.89,9,2020-11-11,2.00,10.64,4.50,4386527,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-73-81/release/4386527
122,12,4.86,7,2020-10-22,2.00,15.00,7.20,6291285,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-65-72/release/6291285
110,11,4.75,8,2020-10-08,4.99,14.95,9.50,6354915,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-57-64/release/6354915
5,0,3.0,1,NaT,,,,10429835,https://www.discogs.com/Wolfgang-Amadeus-Mozart-Don-Giovanni-/release/10429835
13,4,5.0,1,2019-08-27,5.99,6.80,6.56,4388673,https://www.discogs.com/Haydn-Ilse-von-Alpenheim-Bamberg-Symphony-Antal-Dorati-Six-Piano-Concerti/release/4388673
9,2,,0,2020-10-31,8.00,13.35,12.00,11856507,https://www.discogs.com/Camille-Saint-Sa%C3%ABns-Orchestre-National-De-LORTF-Jean-Martinon-The-5-Symphonies/release/11856507
75,11,5.0,1,2020-12-17,2.00,18.21,7.68,7601540,https://www.discogs.com/Saint-Sa%C3%ABns-Aldo-Ciccolini-Orchestre-De-Paris-Serge-Baudo-Groupe-Instrumental-de-Paris-The-Five-Pia/release/7601540
24,1,3.0,1,2020-04-24,2.00,17.80,9.90,7901033,https://www.discogs.com/Giuseppe-Verdi-Arturo-Toscanini-NBC-Symphony-Orchestra-Falstaff/release/7901033
31,3,3.0,2,2018-09-10,8.89,8.89,8.89,10558582,https://www.discogs.com/Mascagni-Leoncavallo-Cavalleria-Rusticana-Pagliacci/release/10558582
32,4,4.5,2,2020-09-09,3.78,10.95,4.99,6395848,https://www.discogs.com/Leonard-BernsteinNew-York-Philharmonic-Orchestra-Leonard-Bernstein-Conducts-The-Early-Tchaikovsky-Sy/release/6395848
66,2,4.5,2,2020-09-11,7.90,40.00,11.51,8380421,https://www.discogs.com/Richard-Strauss-Der-Rosenkavalier/release/8380421
19,3,5.0,1,2018-08-12,2.99,2.99,2.99,8445472,https://www.discogs.com/Johann-Strauss-Jr-Gundula-Janowitz-Eberhard-W%C3%A4chter-Wolfgang-Windgassen-Renate-Holm-Erich-Kunz-Wien/release/8445472
59,6,4.25,4,2020-05-28,4.36,13.10,7.97,4487963,https://www.discogs.com/Robert-Schumann-Herbert-von-Karajan-Berlin-Philharmonic-Orchestra-4-Symphonies/release/4487963
27,8,,0,2019-09-08,6.00,9.99,9.00,10304035,https://www.discogs.com/Franz-Schubert-Karl-B%C3%B6hm-Berlin-Philharmonic-Orchestra-8-Symphonies/release/10304035
22,2,5.0,1,2020-10-17,4.36,13.22,4.69,8875508,https://www.discogs.com/Richard-Strauss-Georg-Solti-Leontyne-Price-Ren%C3%A9-Kollo-Edita-Gruberova-Tatiana-Troyanos-Walter-Berry/release/8875508
93,8,4.5,2,2020-02-08,1.48,10.00,4.12,6355215,https://www.discogs.com/Verdi-Maria-Callas-Tito-Gobbi-Giuseppe-di-Stefano-Nicola-Zaccaria-Orchestra-And-Chorus-Of-La-Scala-M/release/6355215
30,8,,0,2020-08-31,2.99,6.74,4.21,7316226,https://www.discogs.com/Verdi-Leontyne-Price-Placido-Domingo-Sherrill-Milnes-Grace-Bumbry-Ruggero-Raimondi-Hans-Sotin-Erich-/release/7316226
44,12,4.67,3,2020-05-08,8.81,24.99,15.00,4372274,https://www.discogs.com/Callas-La-Traviata/release/4372274
110,17,4.75,4,2020-11-26,3.55,23.83,5.36,3965374,https://www.discogs.com/Verdi-Maria-Callas-Guiseppe-Di-Stefano-Rolando-Panerai-Fedora-Barbieri-Orchestra-And-Chorus-Of-La-Sc/release/3965374
30,4,2.0,1,2020-06-07,2.95,8.90,6.50,5194024,https://www.discogs.com/Verdi-Vinay-Nelli-Valdengo-NBC-Symphony-Orchestra-Toscanini-Otello/release/5194024
192,12,4.17,12,2020-07-27,2.66,26.70,6.23,5982178,https://www.discogs.com/Mozart-B%C3%B6hm-Berliner-Philharmoniker-Die-Grossen-Symphonien-Nr25-41/release/5982178
66,11,4.6,5,2020-12-01,9.60,35.61,14.59,6185286,https://www.discogs.com/Wolfgang-Amadeus-Mozart-Die-Klavierkonzerte/release/6185286
84,10,3.88,8,2020-10-26,1.95,28.00,4.82,2380471,https://www.discogs.com/Elgar-Peter-Pears-Yvonne-Minton-John-Shirley-Quirk-Benjamin-Britten-The-Dream-Of-Gerontius/release/2380471
136,29,4.0,13,2020-12-11,1.35,44.51,15.57,3134534,https://www.discogs.com/Puccini-Pavarotti-Freni-Ghiaurov-Harwood-Panerai-Maffeo-Berlin-Philharmonic-Orchestra-Herbert-von-Ka/release/3134534
50,4,5.0,3,2020-09-30,13.34,18.25,14.60,6241574,https://www.discogs.com/Beethoven-Pascal-String-Quartet-Beethoven-The-Complete-String-Quartets-As-Performed-By-The-Pascal-St/release/6241574
49,8,4.6,5,2020-05-04,3.49,8.76,3.98,7243782,https://www.discogs.com/Mozart-Karajan-Vienna-Philharmonic-Die-Zauberfl%C3%B6te-The-Magic-Flute/release/7243782
43,4,4.33,3,2020-04-23,3.75,39.99,9.85,10512084,https://www.discogs.com/Mozart-B%C3%B6hm-Berliner-Philharmoniker-The-Early-Symphonies-Nos-1-24/release/10512084
9,1,4.0,1,NaT,,,,14041389,https://www.discogs.com/Wolfgang-Amadeus-Mozart-Pilar-Lorengar-Gabriel-Baoquier-Ryland-Davies-Teresa-Berganza-Jane-Berbi%C3%A9-T/release/14041389
94,14,4.0,5,2020-12-18,4.50,19.99,9.99,3930706,https://www.discogs.com/Mozart-Vienna-Philharmonic-Orchestra-Erich-Kleiber-Hilde-Gueden-Lisa-Della-Casa-Suzanne-Danco-Cesare/release/3930706
37,6,4.0,3,2020-10-13,5.40,16.02,7.95,5753186,https://www.discogs.com/Paganini-Ruggiero-Ricci-London-Symphony-Orchestra-Anthony-Collins-Violin-Concertos-Nos-1-And-2/release/5753186
17,3,5.0,3,2020-10-02,5.00,13.35,11.13,2521702,https://www.discogs.com/Paganini-Henryk-Szeryng-London-Symphony-Orchestra-Alexander-Gibson-Concertos-Pour-Violon-Ns-1-Et-4/release/2521702
43,13,4.0,8,2020-04-29,5.61,10.68,7.21,4475838,https://www.discogs.com/Niccol%C3%B2-Paganini-Salvatore-Accardo-London-Philharmonic-Orchestra-Charles-Dutoit-Konzertst%C3%BCcke/release/4475838
37,0,4.0,2,2020-07-23,0.99,0.99,0.99,6114146,https://www.discogs.com/Sibelius-Scottish-National-Orchestra-Alexander-Gibson-Karelia-Overture-King-Christian-II-Suite-The-B/release/6114146
33,2,5.0,3,2019-07-11,4.44,14.24,9.34,5749552,https://www.discogs.com/Mahler-Pierre-Boulez-Elisabeth-Soederstroem-Grace-Hoffman-Ernst-Haefliger-Gerd-Nienstedt-London-Symp/release/5749552
